date;exchange_rate;inflation;interest_rate;gdp_growth;gdp;unemployment_thousands
31.03.2015;7.5048625;1.463666667;9.25;2.193494993;444774.5;36520
30.06.2015;7.616681667;0.199666667;9.25;2.543283238;472072.243;36520
30.09.2015;7.816847414;1.272666667;9.25;3.16062333;494081.1;36520
31.12.2015;7.879738596;0.594666667;9.416666667;2.084632482;477121.6;36520
31.03.2016;8.083588393;0.837666667;10.25;1.657514089;452146.7;36025
30.06.2016;8.8683325;1.696666667;11.58333333;2.269198648;482784.5;36025
30.09.2016;8.868818644;1.305333333;12.25;1.695996872;502460.7;36025
31.12.2016;14.63266721;3.225333333;14.25;3.647162484;494523;36025
31.03.2017;17.7741;2.882333333;15.25;4.247758526;471352.8;34681
30.06.2017;18.08320702;1.394333333;16.58333333;4.777473179;505849.4;34681
30.09.2017;17.78695583;1.783333333;19.25;79.03357564;899573.3574;34681
31.12.2017;17.70054063;0.620333333;19.25;89.0713519;935001.3215;34681
31.03.2018;17.66672869;0.406333333;18.58333333;103.875714;960973.8864;28449
30.06.2018;17.79685763;1.719333333;17.25;97.63385081;999729.6485;28449
30.09.2018;17.89308136;2.247;17.25;5.017224419;944706.9715;28449
31.12.2018;17.90877813;-0.521333333;17.25;5.010399416;981848.6223;28449
31.03.2019;17.60028852;1.057333333;16.58333333;5.279372308;1011707.276;22255
30.06.2019;17.01971491;0.272;16.25;5.216378221;1051879.328;22255
30.09.2019;16.5200041;0.794666667;15.25;4.522023583;987426.8436;22255
31.12.2019;16.14217031;0.180666667;13.08333333;4.751588643;1028502.03;22255
31.03.2020;15.75610806;0.421;11.75;4.329823906;1055512.419;22591
30.06.2020;15.9084431;0.442;9.75;-3.143765922;1018810.704;22591
30.09.2020;15.88961207;0.172;9.75;-1.357854386;974019.0249;22591
31.12.2020;15.686325;0.738333333;8.916666667;0.374552038;1032354.305;22591
31.03.2021;15.69452177;0.118333333;8.75;1.544426911;1071814.037;21703
30.06.2021;15.67546102;0.585666667;8.75;7.265957108;1092837.053;21703
30.09.2021;15.6993975;0.694666667;8.75;9.267291919;1064284.211;21703
31.12.2021;15.70955;0.522;8.75;7.630107807;1111124.052;21703
31.03.2022;16.08319365;1.546;9.083333333;4.986636194;1125261.504;21827
30.06.2022;18.52482982;1.397333333;11.08333333;3.201793726;1127827.441;21827
